Song ID, Song Score
fLnF-QnR1Zw,0
afwK743PL2Y,0
5Epc1Beme90,0
dtJE4j_RcjY,0
HeQGcCtk4bc,0
RaJ6Vf2w9hY,0
OPBECnDBiRQ,-1
BuPmq7yjDnI,0
zZ1L9JD6l0g,0
guBpnPY32s0,0
KrhNNBsUd58,0
XhL7qUwjiX0,0
SMhFTex19DU,0
6lTOgVLZsbw,0
H0s3Jf9u86k,0
YTsCbgoyNPU,0
hrr68ViBpqE,0
c-eCNAGUVQw,0
_baCfeSkjOs,0
RoGQVVXBbOA,0
7CJtN9ke8p0,0
3xmwkzI8T40,0
TaZnmE_cJ90,0
edwooGpMg8g,0
zYBhqgbelJ0,0
MhcD_CuFcOw,0
qLSooDsUqQE,0
JEexIgFkMjI,0
b50Gb3bPNI8,0
VsN7E35LpJE,0
f-PRMB1SsHM,0
jyvcg72-reA,0
R8ALe-nVzd8,0
VgzTfdzj_Ho,0
cDlGFbBipCo,0
EJ09pSuA9hw,0
oQrIbBqV2Ew,0
TGNJbrZnIJg,0
Ez-lX4YcohI,0
vxIOUJ7by6U,0
pRPOztxXWlQ,-1
zutIG-QNm6c,0
sf6LD2B_kDQ,0
0vJqrxGHooE,0
JGCsyshUU-A,0
inb8MMZ-QmA,0
bqtKpLUd3Ng,0
0dfZ9BXaNyE,0
mgUZPVh_l4A,0
aHjpOzsQ9YI,0
55_bV4ORRFM,0
EiyPRqP5glY,0
HZa1iFO0Juk,0
sRxrwjOtIag,0
ukvW7pccZJQ,0
4xcuKEwCDWg,0
c5meFtluB9Y,0
MOg8Cz9yfWg,0
FjgRMEAattA,0
EKkzbbLYPuI,0
AuJnvC8voJY,0
_oNpmSAvpGQ,0
mdkWFPrrZVQ,0
eht-pRJcunU,0
jg4sZZaf3Gg,0
YpRyJBoEiMg,0
XfTknZt2DHA,0
xyrnFRghCv4,0
KtQb2axKpuw,0
3ke-sS8dPKk,0
jLnL63cXmD8,0
lrF814OnFQ4,0
6-wEAeNcA_A,0
dQiNVk_u0po,0
b3KUyPKbR7Q,0
1A3i0GATnRI,0
#NAME?,0
aE2GCa-_nyU,0
ar7brs0qOG8,0
0g9poWKKpbU,0
UQmlzOW-CLY,0
E5TsA6CHpII,0
KA8a5qibUJU,0
X-AjhXhk19U,0
xwsYvBYZcx4,0
TCL94-MsxYc,0
qDsfou6UfjU,0
kQb0DJZLhRM,-1
c7bRxdhUtWM,0
_TFwieKKEpk,0
D-dwmYeLLng,0
9BQU_iXEn_o,0
cYKd1_a-w1Q,0
IFsDAoCHYiQ,0
jvipPYFebWc,0
NVqVwk0rJ64,0
I8HKZEf_V-I,0
rFDMjGpPX9k,0
QAD0BtEv6-Q,0
bJTRLbdX630,0
1yUYvyAY954,0
GGmz74HDDow,0
Qg7L0OQiN78,0
49tpIMDy9BE,-1
RrutzRWXkKs,0
5xO6AWFHVps,0
uCTWBHP6lV0,0
ScVWkYZkZFk,0
ytMqO-WQpQ4,1
dLBZdLPIoRQ,0
O12g4oPSy-g,0
2i4BJFjCPlo,0
zM8OlzfFIOQ,0
h7pWjVA11Zc,0
AlYVNyq2i_0,0
pWn7PYm-W90,0
4MCjU-Du3eI,0
11S5tcT2Tm0,0
3YxaaGgTQYM,0
NyVYXRD1Ans,0
pSQk-4fddDI,0
BURBlSYPmBU,0
Wk008ADh4iY,1
fKEMBn_JdCE,0
wEJd2RyGm8Q,0
gdjR2lvIfJ4,0
He5NctQPXK8,0
515CCwsds14,0
iW2FUY3N-n0,0
d7gOtEwaJzw,0
XwDTzD75fT4,0
